"Laptop_name","Score","Comment","Reasosns","Description","Byers","Price","Sypply"
"Ноутбук Apple MacBook Pro 13 with Retina display Mid 2017",4.5,70,"Покупателям нравится небольшой вес, экранХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Процессор: Core i5Диагональ экрана: 13.3 ""Видеокарта: Intel Iris Plus Graphics 640Вес: 1.37 кгОптический привод: DVD нет",772,83500,544
"Ноутбук Acer SWIFT 3 (SF314-54)",4.5,14,"Покупателям нравится экран, небольшой весХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 14 ""Видеокарта: Intel HD Graphics 620Вес: 1.45 кгОптический привод: DVD нет4G LTE: нет",233,36390,824
"Ноутбук DELL G3 17 3779",4.5,17,"Покупателям нравится мощный процессор, Качество сборкиХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 17.3 ""Видеокарта: NVIDIA GeForce GTX 1060Вес: 3.27 кгОптический привод: DVD нет4G LTE: нет",393,51590,670
"Ноутбук Lenovo ThinkPad L380",5,8,"Покупателям нравится Качество сборки, мощный процессорХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 13.3 ""Видеокарта: Intel HD Graphics 620Вес: 1.46 кгОптический привод: DVD нет4G LTE: нет",236,34989,268
"Ноутбук ASUS TUF Gaming FX705GM",4.5,4,"Покупателям нравится небольшой вес, мощный процессорХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 17.3 ""Видеокарта: NVIDIA GeForce GTX 1060Вес: 2.6 кгОптический привод: DVD нет4G LTE: нет",156,73811,305
"Ноутбук Acer ASPIRE 7 (A715-72G)",4.5,10,"Покупателям нравится мощный процессор, Качество сборкиХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Процессор: Core i5Частота процессора: 2300 МГцОбъем жесткого диска: 2128 ГБДиагональ экрана: 15.6 ""Видеокарта: NVIDIA GeForce GTX 1050 Ti",471,49990,118
"Ноутбук Acer TravelMate P2 (TMP2510-G2-MG)",4.5,7,"Покупателям нравится долгое время работы, небольшой весХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 15.6 ""Видеокарта: NVIDIA GeForce MX130Вес: 2.1 кгОптический привод: DVD нет4G LTE: нет",116,29888,246
"Ноутбук Acer ASPIRE 3 (A315-51)",4,3,"Покупателям нравится Качество сборки, мощный процессорХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 15.6 ""Видеокарта: Intel HD Graphics 520Вес: 2.1 кгОптический привод: DVD нет4G LTE: нет",162,22370,799
"Ноутбук DELL INSPIRON 3180",4.5,12,"Покупателям нравится небольшой вес, Качество сборкиХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Процессор: A6Диагональ экрана: 11.6 ""Видеокарта: AMD Radeon R4Вес: 1.46 кгОптический привод: DVD нет",131,17687,182
"Ноутбук Acer Spin 3 (SP314-51)",5,3,"Покупателям нравится долгое время работы, небольшой весХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 14 ""Видеокарта: Intel HD Graphics 520Вес: 1.7 кгОптический привод: DVD нет4G LTE: нет",63,35354,148
"Ноутбук Acer SWIFT 1 (SF113-31)",5,10,"Покупателям нравится Качество сборки, экранХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Процессор: PentiumЧастота процессора: 1100 МГцДиагональ экрана: 13.3 ""Видеокарта: Intel HD Graphics 505Вес: 1.3 кг",47,27140,9
"Ноутбук Acer TravelMate P2 (P259-MG)",4.5,39,"Покупателям нравится мощный процессор, Качество сборкиХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 15.6 ""Видеокарта: NVIDIA GeForce 940MВес: 2.4 кг4G LTE: нетBluetooth: есть",324,27865,761
"Ноутбук ASUS ROG Strix SCAR II GL704GW",NA,NA,"83 человека купили этот товарПо данным Яндекс.Маркета за 2 месяца.","Процессор: Core i7Частота процессора: 2200 МГцОбъем жесткого диска: 1256 ГБДиагональ экрана: 17.3 ""Видеокарта: NVIDIA GeForce RTX 2070",NA,149690,29
"Ноутбук ASUS Zenbook UX310UA",4.5,21,"Покупателям нравится небольшой вес, долгое время работыХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 13.3 ""Видеокарта: Intel HD Graphics 520Вес: 1.45 кгОптический привод: DVD нет4G LTE: нет",215,37985,307
"Ноутбук Acer ASPIRE E 15 (E5-576G)",4.5,21,"Покупателям нравится мощный процессор, небольшой весХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 15.6 ""Видеокарта: NVIDIA GeForce 940MXВес: 2.23 кг4G LTE: нетBluetooth: есть",144,29990,324
"Ноутбук DELL INSPIRON 5575",5,1,"88 человек купили этот товарПо данным Яндекс.Маркета за 2 месяца.","Диагональ экрана: 15.6 ""Видеокарта: AMD Radeon Vega 8Вес: 2.22 кгОптический привод: DVD-RW4G LTE: нет",NA,30688,202
"Ноутбук ASUS VivoBook S13 S330UA",NA,NA,"59 человек купили этот товарПо данным Яндекс.Маркета за 2 месяца.","Процессор: Core i3Частота процессора: 2200 МГцОбъем жесткого диска: 128 ГБДиагональ экрана: 13.3 ""Видеокарта: Intel UHD Graphics 620",NA,34500,32
"Ноутбук Lenovo ThinkPad Edge E480",5,9,"Покупателям нравится Качество сборки, долгое время работыХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 14 ""Видеокарта: Intel HD Graphics 620Вес: 1.75 кгОптический привод: DVD нет4G LTE: нет",221,32987,433
